Name,City,id
Sheraton Gateway Los Angeles,"90045, Los Angeles",1
The Jeremy Hotel West Hollywood,"90069, Los Angeles",2
Hampton Inn & Suites Santa Monica,"90401, Los Angeles",3
"Beverly Wilshire, A Four Seasons Hotel","90212, Los Angeles",4
The London West Hollywood at Beverly Hills,"90069, Los Angeles",5
Mr C Beverly Hills,"90035, Los Angeles",6
LEVEL Furnished Living Suites Downtown Los Angeles,"90015, Los Angeles",7
Radisson Hotel Los Angeles Midtown at USC,"90007, Los Angeles",8
DoubleTree Suites by Hilton Santa Monica,"90028, Los Angeles",9
Viceroy L'Ermitage Beverly Hills,"90210, Los Angeles",10
Plaza la Reina,"90024, Los Angeles",11
Marina del Rey Suites,"90292, Los Angeles",12
Waldorf Astoria Beverly Hills,"90210, Los Angeles",13
Hotel Figueroa Downtown Los Angeles,"90015, Los Angeles",14
Beverly Laurel Motor Hotel,"90048, Los Angeles",15
Popular Hollywood Rockstar Penthouse,"90028, Los Angeles",16
Best Western Plus Sunset Plaza Hotel,"90069, Los Angeles",17
Kimpton Everly Hotel,"90028, Los Angeles",18
InterContinental Los Angeles Century City at Beverly Hills,"90067, Los Angeles",19
Venice on the Beach Hotel,"90291, Los Angeles",20
BLVD Hotel & Spa,"91604, Los Angeles",21
Casa Del Mar,"90405, Los Angeles",22
Hyatt Regency Los Angeles International Airport,"90045, Los Angeles",23
The NoMad Los Angeles,"90014, Los Angeles",24
Andaz West Hollywood-a concept by Hyatt,"90069, Los Angeles",25
Hollywood Luxury Suite * 5 beds + Parking,"90028, Los Angeles",26
Montage Beverly Hills,"90210, Los Angeles",27
"Luxury, Hollywood Walk of Fame","90028, Los Angeles",28
Luxury Apartment Near The Grove,"90036, Los Angeles",29
Hilton Los Angeles-Universal City,"91608, Los Angeles",30
DTLA Convention Center Suite,"90015, Los Angeles",31
Lexen Hotel - Hollywood,"90068, Los Angeles",32
The Charlie West Hollywood,"90069, Los Angeles",33
CALIFORNIA Deluxe Suite | 2BD/2BT | FREE PARKING | POOL !,"90036, Los Angeles",34
Loews Hollywood Hotel,"90028, Los Angeles",35
Downtown Oasis in DTLA,"90017, Los Angeles",36
Luxury Apartments in Downtown LA,"90012, Los Angeles",37
Ace Hotel Downtown Los Angeles,"90015, Los Angeles",38
The Georgian Hotel,"90401, Los Angeles",39
Hotel Beverly Terrace,"90210, Los Angeles",40
Huntley Santa Monica Beach,"90403, Los Angeles",41
Residence Inn by Marriott Beverly Hills,"90028, Los Angeles",42
Luxe City Center Hotel,"90015, Los Angeles",43
Chic Staples Center Apartment,"90015, Los Angeles",44
SIXTY Beverly Hills,"90212, Los Angeles",45
Hollywood Blvd Plush Apartment,"90028, Los Angeles",46
Friendship Motor Inn,"90019, Los Angeles",47
Two Bedroom near Boardwalk,"90291, Los Angeles",48
Viceroy Santa Monica,"90401, Los Angeles",49
Luxury Apartments Near the Grove,"90036, Los Angeles",50
Venice Breeze Suites,"90291, Los Angeles",51
LA Deluxe Suite at The Grove Mall,"90036, Los Angeles",52
Shore Hotel,"90401, Los Angeles",53
Urban Hollywood Blvd Cinema Suite,"90028, Los Angeles",54
Travelodge by Wyndham Culver City,"90232, Los Angeles",55
Four Seasons Hotel Los Angeles at Beverly Hills,"90048, Los Angeles",56
Hotel Aventura,"90006, Los Angeles",57
Hotel Erwin,"90291, Los Angeles",58
