hotel,Score,Cleanliness,Comfort
Sheraton Gateway Los Angeles,8.1,8.5,8.4
The Jeremy Hotel West Hollywood,8.9,9.3,9.0
Hampton Inn & Suites Santa Monica,8.3,8.8,8.6
"Beverly Wilshire, A Four Seasons Hotel",8.9,9.1,9.0
The London West Hollywood at Beverly Hills,8.8,9.2,9.1
Mr C Beverly Hills,8.4,8.8,8.7
LEVEL Furnished Living Suites Downtown Los Angeles,9.0,9.3,9.3
Radisson Hotel Los Angeles Midtown at USC,8.2,8.6,8.4
DoubleTree Suites by Hilton Santa Monica,8.0,8.4,8.2
Viceroy L'Ermitage Beverly Hills,9.2,9.6,9.5
Plaza la Reina,9.1,9.3,9.2
Marina del Rey Suites,9.0,9.2,9.2
Waldorf Astoria Beverly Hills,9.3,9.7,9.6
Hotel Figueroa Downtown Los Angeles,8.9,9.2,9.0
Beverly Laurel Motor Hotel,8.5,8.9,8.4
Popular Hollywood Rockstar Penthouse,8.0,7.5,8.6
Best Western Plus Sunset Plaza Hotel,8.4,8.7,8.5
Kimpton Everly Hotel,9.0,9.4,9.4
InterContinental Los Angeles Century City at Beverly Hills,8.6,9.0,8.9
Venice on the Beach Hotel,8.5,8.7,8.1
BLVD Hotel & Spa,8.2,8.7,8.4
Casa Del Mar,8.8,9.2,9.1
Hyatt Regency Los Angeles International Airport,8.6,8.9,8.9
The NoMad Los Angeles,8.9,9.4,9.1
Andaz West Hollywood-a concept by Hyatt,8.8,9.1,9.0
Hollywood Luxury Suite * 5 beds + Parking,8.8,8.9,9.2
Montage Beverly Hills,8.9,9.3,9.1
"Luxury, Hollywood Walk of Fame",8.6,8.8,8.4
Luxury Apartment Near The Grove,8.8,8.5,8.8
Hilton Los Angeles-Universal City,8.4,8.7,8.6
DTLA Convention Center Suite,8.9,9.0,9.4
Lexen Hotel - Hollywood,8.6,9.2,8.6
The Charlie West Hollywood,9.1,9.2,9.3
CALIFORNIA Deluxe Suite | 2BD/2BT | FREE PARKING | POOL !,9.6,9.6,10.0
Loews Hollywood Hotel,8.6,8.9,8.8
Downtown Oasis in DTLA,8.7,8.7,8.8
Luxury Apartments in Downtown LA,8.4,8.7,8.8
Ace Hotel Downtown Los Angeles,8.2,8.7,8.2
The Georgian Hotel,8.3,8.7,8.4
Hotel Beverly Terrace,8.5,8.9,8.2
Huntley Santa Monica Beach,8.8,9.4,9.3
Residence Inn by Marriott Beverly Hills,8.0,8.3,8.0
Luxe City Center Hotel,8.4,8.8,8.5
Chic Staples Center Apartment,8.9,9.0,9.3
SIXTY Beverly Hills,8.1,8.3,8.1
Hollywood Blvd Plush Apartment,8.8,9.0,9.1
Friendship Motor Inn,8.2,8.5,8.0
Two Bedroom near Boardwalk,8.5,8.9,8.2
Viceroy Santa Monica,8.3,8.8,8.6
Luxury Apartments Near the Grove,9.1,9.0,9.1
Venice Breeze Suites,8.4,8.6,8.4
LA Deluxe Suite at The Grove Mall,9.8,9.7,9.7
Shore Hotel,8.5,9.1,8.6
Urban Hollywood Blvd Cinema Suite,9.3,8.9,9.5
Travelodge by Wyndham Culver City,7.9,8.1,8.0
Four Seasons Hotel Los Angeles at Beverly Hills,9.0,9.4,9.3
Hotel Aventura,8.5,9.1,8.7
Hotel Erwin,8.4,8.7,8.4
Hotel Bel-Air,9.4,9.7,9.7
Popular Hollywood Upstairs Downstairs Penthouse,8.3,8.2,9.2
Popular Hollywood Blvd 2BR/BA Oscars,8.3,8.4,8.4
The Beverly Hills Hotel,9.4,9.6,9.6
Heart of Hollywood,9.6,9.7,9.3
Spacious Town House - 2 Levels,8.6,8.8,8.8
Popular Hollywood Blvd View Penthouse,8.6,8.7,9.0
Popular Hollywood Walk of Fame Penthouse,8.2,8.2,8.5
Walk to Convention Center Apartment,8.5,8.8,8.8
Los Angeles Airport Marriott,8.0,8.4,8.1
Beautiful Large Duplex House at The GROVE | Free Parking,9.0,8.4,9.3
Downtown LA Mandarin Resort Style Suite,8.4,8.6,8.7
Groovy 2-Bedroom Condo with Terrace,8.5,8.5,8.5
Mayumi,8.9,9.3,9.0
East West Comfort: Studio City Universal Apartments,8.6,8.5,8.3
Marina Studio by the Venice Beach,8.8,8.8,8.5
Hotel Sofitel Los Angeles at Beverly Hills,8.2,8.5,8.3
Popular The Grove Upscale Suite,8.1,7.8,8.1
Popular Hollywood Marilyn Monroe Suite,8.3,8.2,8.6
Fabulous Apartment in GLENDON Next to UCLA Los Angeles *21,8.5,9.0,9.0
Dream Hollywood,8.5,8.9,8.6
Downtown Cosmopolitan Suites,8.8,9.1,9.1
Downtown LA Convention Center Suite,7.9,7.9,8.2
Global Luxury Suites at Marina Del Rey,8.0,8.5,8.8
"New Luxury DT LA Apt- Pool, Gym, Staple center",8.9,9.5,9.2
Popular Hollywood Famous suite,8.9,8.3,8.8
Venice Suites,8.3,8.4,8.2
Courtyard by Marriott Santa Monica,8.4,8.8,8.6
Ramada by Wyndham Marina del Rey,8.0,8.4,8.1
Downtown Highrise Luxury Living,8.9,8.9,9.3
Sunset Marquis Hotel,8.9,9.2,9.2
The Orlando Hotel,8.5,8.7,8.6
"Marina Del Rey/Venice 2 Bed, 2 Bath. Pool, Gym",9.7,9.6,9.6
Urban DTLA Top Level Penthouse,9.4,9.2,8.9
Popular Hollywood Fabulous Suite,8.5,8.7,8.8
Urban Hollywood Memories Penthouse,9.1,8.9,8.9
Embassy Suites Los Angeles - International Airport/North,8.5,8.6,8.7
PREMIUM TWO BEDROOM CONDO w Free parking,9.0,9.3,9.3
Downtown LA 5beds Entertainer Pool,8.5,9.0,8.9
Le Meridien Delfina Santa Monica,8.0,8.5,8.4
High-Rise City View Condo,8.5,8.8,8.8
W. HOLLYWOOD CHARMING 2BR/2BT SUITE / Free Parking / Rooftop Pool,9.8,10.0,9.6
Popular Audrey Hepburns Hollywood Suites,8.6,8.6,8.8
InterContinental - Los Angeles Downtown,9.0,9.3,9.2
East West Comfort: Hollywood Walk of Fame Apartments,8.2,8.3,8.1
Urban Hollywood Modern Penthouse,8.5,7.9,8.8
Fairmont Miramar Hotel & Bungalows,8.4,8.8,8.6
Petit Ermitage,8.7,9.0,8.9
Popular Hollywood Presidential Penthouse,8.6,9.2,9.0
Hotel Angeleno,8.1,8.6,8.1
LA Paradise Retreat Amazing Location,9.5,9.2,9.6
Hilton Garden Inn Los Angeles Marina Del Rey,8.5,8.9,8.7
Popular Hollywood Blvd Deluxe Suite,8.3,8.2,8.6
Urban Hollywood Chateau Suite,8.8,8.6,9.0
Popular Downtown LA Extravagant Suite,8.7,8.9,8.7
East West Comfort: Downtown LA Artistic Apartments,8.2,8.9,8.1
Popular Hollywood Views Massive Penthouse,8.4,8.1,9.4
Melrose Place,8.6,8.3,8.6
Popular Hollywood VIP Celebrity Penthouse,8.4,8.2,8.8
Downtown LA Convention Center Apartment,8.6,8.7,8.6
Sunset Boulevard Luxury Private Home Escape,9.7,9.5,10.0
Abbot Kinney Apartment,8.3,8.5,8.3
Downtown Los Angeles Deluxe Penthouse,8.5,8.6,8.9
Popular Hollywood Spectacular Double King Suite,8.8,9.0,9.3
Walk of Fame Hostel,8.3,8.4,7.7
The Westin Los Angeles Airport,8.1,8.4,8.5
Comfort Inn Near Old Town Pasadena in Eagle Rock CA,8.3,8.6,8.3
Best Western Plus Hollywood Hills Hotel,8.2,8.5,8.2
Modern Living,8.9,8.9,9.2
Cozy Silver Lake Getaway,8.7,8.8,8.8
Kimpton Hotel Palomar Los Angeles Beverly Hills,8.0,8.5,8.3
Marina Vacation Rentals,8.7,8.7,8.7
Popular Downtown LA Skyline View Suites,8.3,8.1,8.2
Marina del Rey Marriott,8.1,8.4,8.4
Popular Hollywood VIP Executive Suite,8.0,7.7,8.3
Popular Hollywood Blvd Gorgeous Penthouse,8.0,7.7,8.3
Urban Downtown 3br 3ba Sky Pool Table Penthouse,8.6,8.8,8.9
"Deluxe, Universal Studios / 2 rooms",8.3,8.7,8.3
Hotel Indigo - Los Angeles Downtown,8.6,9.0,9.0
Popular Hollywood Blvd Majestic Suite,9.0,8.3,9.2
Popular Hollywood Blvd Shining Suite,8.3,8.3,8.7
Hollywood 2Bed 2Bath,8.1,7.7,8.3
Sunset Home,8.2,8.3,7.7
Hollywood Walk of Fame Apartment,8.6,8.6,8.9
Luxury Condo with Parking,8.2,8.8,8.5
The Los Angeles Athletic Club,8.6,8.8,8.8
Hollywood Spring Deluxe,9.0,9.1,9.1
DTLA Convention Center Stylish Apartment,8.6,8.8,8.5
Popular Hollywood Celebrity Suite,8.2,8.4,8.3
BLVD Hotel & Suites,8.0,8.2,8.0
Kimpton La Peer Hotel,8.8,9.5,8.7
