hotel,zip_code,numRev,Score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,good Fitness Center,Daily Housekeeping,Heating,Fitness Center,Room Service,Family Rooms,Parking,Airport Shuttle,Laundry,Free WiFi.1,Air Conditioning,Pet Friendly,Elevator,Facilities for Disabled Guests,Bar,Non-smoking Rooms,Restaurant,24-Hour Front Desk,WiFi,Dist,Label
Hotel Pennsylvania,10001,35615,5.6,5,4.9,4.7,5.6,5.2,6.3,8.3,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1.4,0
Radisson Martinique on Broadway,10001,7925,8.2,8.5,8.1,7.9,8.1,7.5,8.5,9.2,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1.4,2
Residence Inn by Marriott New York Manhattan/Times Square,10018,3537,8.3,8.2,8.2,8,8.4,7.5,8.5,9.4,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1.1,2
MADE Hotel,10001,1192,9.1,9.4,9,8.9,9.4,8.5,9.6,9.4,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1.6,2
LUMA Hotel - Times Square,10018,2212,9.2,9.5,9.3,9,9.3,8.3,9.1,9.7,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,2
"The Standard, High Line New York",10014,2822,8.3,8.7,8.3,8.2,8.3,7.2,8.4,9.2,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,2.3,2
citizenM New York Times Square,10019,5323,9.2,9.5,9.1,9.2,9.4,8.3,9.6,9.7,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,2600,2
Gansevoort Meatpacking,10014,1863,8.3,8.6,8.3,8.1,8.4,7.3,8.9,9.1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,2.3,2
Courtyard by Marriott New York Manhattan/Central Park,10019,5459,8,8.2,8.1,7.7,7.9,7.2,8.4,9.1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1500,2
"The Langham, New York, Fifth Avenue",10018,1143,9.2,9.5,9.4,9,9.5,8.3,9.3,9.5,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1.2,2
Hyatt Centric Times Square New York,10036,4283,8.7,9.1,9,8.6,8.5,7.8,9.1,9.5,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0.7,2
The Assemblage John Street,10038,66,9.4,9.7,9.7,9.2,9.5,8.8,10,9.2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,3.7,2
Splendid Apartment by Times SQ,10036,414,8,7.8,8.3,7.9,7.9,7.7,9.1,8.7,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,2
Warwick New York,10019,4010,8.4,8.6,8.5,8,8.3,7.5,8.2,9.4,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,2450,2
