hotel,Score,Cleanliness,Comfort
Universal's Cabana Bay Beach Resort,8.9,9.1,8.9
Regal Oaks – The Official CLC World Resort,8.8,8.6,9.2
Magic Village Resort Orlando Near Disney,9.1,9.1,9.4
Floridays Resort Orlando Near Disney/Seaworld,8.5,8.0,8.8
Universal's Hard Rock Hotel,9.0,9.2,9.3
Universal's Loews Sapphire Falls Resort,9.1,9.3,9.2
Orlando Resort Rentals at Universal Boulevard,9.2,9.1,9.4
Wyndham Bonnet Creek,8.6,8.6,8.9
Sheraton Vistana Resort Villas,8.9,8.7,9.1
Hyatt Regency Orlando International Airport Hotel,8.8,9.0,9.0
Homewood Suites by Hilton Orlando Theme Parks,9.3,9.5,9.5
Universal's Loews Royal Pacific Resort,9.1,9.2,9.3
SpringHill Suites by Marriott Orlando Lake Buena Vista in Marriott Village,8.6,8.6,8.5
Sonesta ES Suites Orlando International Drive,8.6,8.3,8.7
WorldQuest Orlando Resort,8.5,8.2,8.8
Hawthorn Suites by Wyndham Kissimmee Gateway,8.7,8.5,8.8
SpringHill Suites by Marriott Orlando at Millenia,9.4,9.8,9.5
Staybridge Suites Orlando - Lake Buena Vista,9.0,8.9,9.1
Fairfield Inn & Suites by Marriott Orlando Lake Buena Vista in the Marriott Village,8.7,8.7,8.6
Fairfield Inn Suites by Marriott Orlando At SeaWorld,8.9,9.0,8.9
"Lake Buena Vista Resort Village and Spa, a staySky Hotel & Resort",8.5,8.1,8.7
Sheraton Vistana Villages Resort Near Universal Blvd.,8.8,8.7,9.1
Comfort Suites Maingate East,8.9,9.0,9.0
Universal's Loews Portofino Bay Hotel,8.9,9.0,9.2
Windsor Hills Apartment,9.2,8.9,9.3
Olivia's Dream Villa in Windsor Hills,9.3,9.3,9.8
Hyatt Place - Orlando Convention Center,8.6,8.6,8.7
Walt Disney World Dolphin,8.2,8.3,8.3
Staybridge Suites Orlando at SeaWorld,9.1,8.6,9.3
DoubleTree by Hilton at the Entrance to Universal Orlando,8.5,8.6,8.5
Waldorf Astoria Orlando,8.8,9.1,9.2
Walt Disney World Swan,8.6,8.8,8.8
Residence Inn by Marriott Orlando at SeaWorld,8.5,8.4,8.5
Hyatt House across from Universal Orlando Resort,9.2,9.1,9.1
Water Oak IR700,9.0,8.3,9.7
Casiola Vacation Homes,8.9,8.9,9.1
Embassy Suites by Hilton Orlando International Drive Convention Center,8.7,8.7,8.7
TownePlace Suites by Marriott Orlando at SeaWorld,9.3,9.4,9.2
Residence Inn by Marriott Orlando at Millenia,9.5,9.7,9.9
Hilton Grand Vacations at Tuscany Village,8.9,8.9,9.2
Four Seasons Resort Orlando at Walt Disney World Resort,9.3,9.6,9.6
Hampton Inn Orlando Near Universal Blv/International Dr,8.6,8.6,8.5
Homewood Suites by Hilton Orlando-Intl Drive/Convention Ctr,8.7,8.7,8.7
Comfort Suites UCF/Research Park,8.6,8.7,8.5
Hyatt Place Orlando Lake Buena Vista,8.9,9.0,9.0
Hyatt Regency Orlando,8.9,9.0,9.1
